<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
08/01/18,000000,16174.2200000,16275.0000000,12800.0100000,13656.2300000,53720
15/01/18,000000,13656.2300000,14253.0000000,9017.4200000,11518.1700000,85229
22/01/18,000000,11518.1700000,11849.0000000,9945.0000000,11536.0000000,52411
29/01/18,000000,11536.0000000,11570.0000000,7540.0000000,8167.9100000,76894
05/02/18,000000,8167.9000000,9090.0000000,5873.0000000,8072.9900000,121062
12/02/18,000000,8073.0000000,11299.1000000,8072.9900000,10380.0400000,48601
19/02/18,000000,10380.0400000,11775.0000000,9324.7500000,9595.4200000,41687
26/02/18,000000,9600.0000000,11494.5700000,9404.0000000,11469.9000000,31103
05/03/18,000000,11469.9000000,11645.3600000,8370.0000000,9533.8800000,91886
12/03/18,000000,9533.8800000,9890.0000000,7310.0000000,8192.0000000,141792
19/03/18,000000,8192.0000000,9174.0000000,8108.3100000,8453.0000000,99963
26/03/18,000000,8453.0000000,8498.0000000,6450.0000000,6816.0100000,116602
02/04/18,000000,6816.0100000,7520.0000000,6518.8800000,7020.0100000,65586
09/04/18,000000,7020.0100000,8392.5600000,6617.0000000,8355.2500000,90665
16/04/18,000000,8355.2400000,9038.8700000,7822.0000000,8795.0100000,66762
23/04/18,000000,8795.0000000,9763.4900000,8602.4300000,9389.0100000,91832
30/04/18,000000,9389.0100000,9948.1200000,8831.2100000,9600.0000000,58194
07/05/18,000000,9600.0000000,9619.5500000,8223.4300000,8686.1000000,64505
14/05/18,000000,8686.1000000,8880.0100000,7927.2100000,8516.8600000,51849
21/05/18,000000,8516.8600000,8584.3900000,7229.0100000,7346.6400000,49075
28/05/18,000000,7346.6400000,7777.0000000,7058.0000000,7706.3700000,43662
04/06/18,000000,7706.3700000,7747.5700000,6652.0000000,6770.3100000,44068
11/06/18,000000,6770.3100000,6913.8200000,6135.0000000,6447.1600000,58262
18/06/18,000000,6447.1500000,6829.0600000,5777.0000000,6149.9900000,53732
25/06/18,000000,6150.0000000,6520.1500000,5790.0100000,6349.5000000,45178
02/07/18,000000,6349.5000000,6843.2600000,6270.0100000,6701.9700000,37075
09/07/18,000000,6701.9700000,6815.8200000,6075.1600000,6348.7300000,36549
16/07/18,000000,6348.7300000,7687.0000000,6330.3000000,7397.8000000,67432
23/07/18,000000,7400.0000000,8488.0000000,7378.2600000,8216.3400000,73120
30/07/18,000000,8216.3300000,8274.9200000,6880.0000000,7030.0100000,64966
06/08/18,000000,7030.0000000,7163.0000000,6003.0000000,6316.0100000,78095
13/08/18,000000,6316.0000000,6636.0000000,5900.0000000,6489.5300000,72533
20/08/18,000000,6489.5300000,6890.6500000,6227.7100000,6709.9800000,51235
27/08/18,000000,6709.9800000,7328.3600000,6654.1300000,7295.0000000,51552
03/09/18,000000,7294.9900000,7402.5000000,6116.0000000,6235.0100000,66613
10/09/18,000000,6235.0200000,6580.0000000,6176.7600000,6498.0000000,44445
17/09/18,000000,6498.0000000,6823.0000000,6106.3700000,6696.9900000,50873
24/09/18,000000,6696.9900000,6786.7300000,6320.5000000,6605.0000000,43771
01/10/18,000000,6605.0000000,6641.0000000,6398.9600000,6570.0000000,29205
08/10/18,000000,6569.9900000,6681.1900000,6033.3400000,6183.4900000,47564
15/10/18,000000,6183.5200000,6810.0000000,6151.5800000,6415.8800000,52216
22/10/18,000000,6415.8700000,6471.0000000,6360.0000000,6403.6200000,24093
29/10/18,000000,6403.6300000,6464.1500000,6201.6700000,6423.2800000,29715
05/11/18,000000,6423.2900000,6540.0000000,6271.1500000,6357.6000000,28376
12/11/18,000000,6357.6000000,6383.5900000,5188.0000000,5560.0000000,78832
19/11/18,000000,5560.0000000,5560.0000000,3456.7800000,3936.6900000,219372
26/11/18,000000,3936.7000000,4414.8900000,3508.0000000,4103.1900000,153566
03/12/18,000000,4102.8000000,4119.9800000,3212.0000000,3531.1800000,134498
10/12/18,000000,3531.1800000,3590.7100000,3128.8900000,3195.0000000,76795
17/12/18,000000,3194.9900000,4175.0000000,3184.2800000,3944.9300000,135039
24/12/18,000000,3944.9200000,4239.3700000,3567.0000000,3829.0000000,87115
31/12/18,000000,3829.0000000,4088.0000000,3625.0000000,4040.9900000,64095
07/01/19,000000,4040.9800000,4114.8000000,3481.5400000,3514.2400000,81144
14/01/19,000000,3514.2400000,3765.9000000,3481.0100000,3536.1900000,56765
21/01/19,000000,3537.5600000,3657.7600000,3425.0000000,3531.0200000,44516
28/01/19,000000,3531.0200000,3535.9200000,3337.8700000,3414.7800000,52858
04/02/19,000000,3415.6900000,3711.0000000,3340.8000000,3648.8400000,55955
11/02/19,000000,3648.8500000,3675.0000000,3535.1000000,3625.0800000,46027
18/02/19,000000,3625.0800000,4188.7900000,3616.1800000,3734.2200000,81460
25/02/19,000000,3734.2300000,3910.0000000,3655.0000000,3786.9300000,47452
04/03/19,000000,3786.9300000,3947.3300000,3672.3900000,3900.9200000,47303
11/03/19,000000,3900.9300000,4037.4700000,3779.2800000,3967.0100000,41807
18/03/19,000000,3967.0100000,4056.3300000,3915.1400000,3969.5200000,37792
25/03/19,000000,3969.5200000,4131.8700000,3858.0000000,4094.9900000,38709
01/04/19,000000,4095.0000000,5345.0000000,4051.5300000,5194.7900000,124144
08/04/19,000000,5194.7600000,5488.0000000,4901.9900000,5164.2700000,73213
15/04/19,000000,5163.8100000,5359.9800000,4945.5400000,5297.6400000,49240
22/04/19,000000,5297.6400000,5650.0100000,4967.0000000,5155.0000000,79083
29/04/19,000000,5155.0000000,5846.8800000,5072.0100000,5715.8600000,40881
06/05/19,000000,5715.8600000,7581.8200000,5564.9300000,6979.7600000,79102
13/05/19,000000,6979.2400000,8388.0000000,6600.0000000,8200.0000000,105457
20/05/19,000000,8194.3400000,8793.9700000,7467.1000000,8731.7200000,63570
27/05/19,000000,8732.3400000,9090.0000000,7972.0000000,8736.5500000,95644
03/06/19,000000,8736.5500000,8742.4800000,7427.0000000,7634.5800000,91117
10/06/19,000000,7635.0500000,9388.0000000,7516.9000000,8975.0000000,80760
17/06/19,000000,8975.7800000,11284.4400000,8919.7200000,10833.0200000,129722
24/06/19,000000,10833.0000000,13868.4400000,10300.0000000,10761.2600000,285011
01/07/19,000000,10761.2600000,12064.2600000,9651.0000000,11474.4200000,182891
08/07/19,000000,11474.4400000,13202.6300000,10084.4000000,10185.0300000,181066
15/07/19,000000,10190.9100000,11112.3100000,9071.0000000,10590.7000000,188436
22/07/19,000000,10590.7100000,10688.1400000,9108.8800000,9533.0000000,99146
29/07/19,000000,9533.0000000,11089.7400000,9356.7500000,10977.5100000,78769
05/08/19,000000,10977.9800000,12320.4000000,10977.9800000,11540.7600000,103904
12/08/19,000000,11540.7600000,11555.5500000,9470.0000000,10315.4800000,99435
19/08/19,000000,10315.4800000,10953.0000000,9759.0000000,10138.7200000,70590
26/08/19,000000,10142.0000000,10680.0000000,9321.7300000,9766.5200000,66542
02/09/19,000000,9766.6200000,10939.3400000,9756.5400000,10398.9700000,68508
09/09/19,000000,10401.1300000,10541.7500000,9851.9700000,10304.4600000,46416
16/09/19,000000,10303.6600000,10379.9800000,9585.8600000,10026.8000000,49860
23/09/19,000000,10026.7900000,10051.1500000,7712.4500000,8052.4000000,133241
30/09/19,000000,8054.0900000,8535.0000000,7701.0000000,7859.7900000,62139
07/10/19,000000,7859.7900000,8826.0000000,7762.3500000,8282.9700000,59280
14/10/19,000000,8282.9600000,8420.0000000,7814.0800000,8236.1200000,44232
21/10/19,000000,8235.9400000,10540.4900000,7296.4400000,9548.8400000,139179
28/10/19,000000,9555.8900000,9939.6900000,8950.0000000,9206.5200000,64009
04/11/19,000000,9206.5200000,9600.0000000,8660.0000000,9032.2300000,51485
11/11/19,000000,9032.2300000,9067.3400000,8361.0000000,8500.0100000,40529
18/11/19,000000,8501.0000000,8501.0100000,6775.4700000,6908.6400000,91186
25/11/19,000000,6908.6400000,7870.1000000,6526.0000000,7404.2700000,92246
02/12/19,000000,7405.3300000,7775.0000000,7080.0000000,7520.0000000,57187
09/12/19,000000,7520.0000000,7659.3800000,7006.0100000,7111.0000000,47029
16/12/19,000000,7111.0000000,7521.5500000,6430.0000000,7513.0600000,80075
23/12/19,000000,7514.7400000,7688.9900000,7053.3200000,7384.8900000,53200
30/12/19,000000,7384.5700000,7488.8700000,6854.6700000,7355.4000000,49875
06/01/20,000000,7355.4000000,8469.3900000,7343.1700000,8180.8100000,89611
13/01/20,000000,8180.8100000,9194.9900000,8041.9500000,8697.5300000,93882
20/01/20,000000,8697.5300000,8791.7600000,8216.7100000,8595.0000000,48396
27/01/20,000000,8595.0000000,9574.6800000,8556.6000000,9323.5000000,73439
03/02/20,000000,9325.0100000,10178.9100000,9078.0500000,10168.3500000,71886
10/02/20,000000,10168.3600000,10522.5100000,9612.1200000,9921.0000000,90229
17/02/20,000000,9920.5200000,10315.0000000,9280.9800000,9965.0100000,66663
24/02/20,000000,9965.0000000,10030.0000000,8400.0000000,8522.3100000,83154
02/03/20,000000,8522.3000000,9214.6700000,8002.2000000,8037.7600000,64556
09/03/20,000000,8037.7300000,8187.0300000,3858.0000000,5345.3500000,377094
16/03/20,000000,5346.8600000,6990.0000000,4432.3000000,5818.2500000,321320
23/03/20,000000,5815.2400000,6983.3100000,5678.2000000,5877.2100000,188675
30/03/20,000000,5878.9800000,7292.1100000,5853.0000000,6778.2500000,116364
06/04/20,000000,6778.6400000,7466.0000000,6750.0000000,6908.1300000,118995
13/04/20,000000,6908.1200000,7308.0000000,6456.0000000,7130.7100000,111946
20/04/20,000000,7130.7000000,7775.0000000,6748.7200000,7706.4000000,99239
27/04/20,000000,7706.4000000,9478.6600000,7635.6900000,8909.9500000,169336
04/05/20,000000,8907.8500000,10079.0000000,8106.7000000,8729.8600000,197056
11/05/20,000000,8729.8600000,9943.9300000,8185.0000000,9676.6300000,159818
18/05/20,000000,9677.4500000,9957.2500000,8680.7000000,8715.7300000,111485
25/05/20,000000,8715.6900000,9764.0000000,8632.9300000,9446.5700000,128780
01/06/20,000000,9445.8300000,10428.0000000,9270.0000000,9750.1200000,109317
08/06/20,000000,9750.1200000,10018.6700000,9050.0000000,9325.0000000,78982
15/06/20,000000,9328.6300000,9592.0400000,8895.0100000,9286.1400000,61965
22/06/20,000000,9286.1400000,9792.0000000,8815.0100000,9113.2400000,71245
29/06/20,000000,9113.2300000,9297.2000000,8905.8400000,9074.3900000,51360
06/07/20,000000,9074.3700000,9475.0000000,9061.5900000,9303.3700000,50455
13/07/20,000000,9303.3800000,9339.6100000,9005.0000000,9212.8700000,46169
20/07/20,000000,9214.0100000,10150.0000000,9131.0000000,9941.0000000,67155
27/07/20,000000,9941.0000000,12134.2900000,9935.0000000,11068.5400000,160990
03/08/20,000000,11067.4600000,11920.0000000,10911.7400000,11688.4800000,99205
10/08/20,000000,11688.2500000,12086.2200000,11120.0000000,11918.8400000,106343
17/08/20,000000,11918.8400000,12486.6100000,11370.0000000,11650.0100000,96229
24/08/20,000000,11650.0100000,11823.6200000,11102.7300000,11716.0100000,65558
31/08/20,000000,11716.0000000,12086.0000000,9813.0000000,10257.8600000,130648
07/09/20,000000,10258.6700000,10582.3600000,9819.8300000,10336.7600000,72759
14/09/20,000000,10336.7600000,11179.9000000,10253.0000000,10920.8900000,66429
21/09/20,000000,10920.9400000,10994.0000000,10135.2200000,10778.2000000,58840
28/09/20,000000,10779.0000000,10956.1100000,10363.7600000,10671.1100000,53235
05/10/20,000000,10670.0100000,11498.9800000,10524.0000000,11374.0100000,55643
12/10/20,000000,11374.0100000,11736.0200000,11187.6000000,11514.2000000,52721
19/10/20,000000,11514.2000000,13361.0000000,11416.0400000,13045.0000000,104495
26/10/20,000000,13045.0200000,14098.9200000,12785.0000000,13771.5900000,100436
02/11/20,000000,13771.7000000,15977.6700000,13215.0000000,15482.9000000,135449
09/11/20,000000,15482.8900000,16491.9200000,14817.1400000,15966.8900000,102939
16/11/20,000000,15970.0000000,18980.0000000,15879.0000000,18437.6600000,135655
23/11/20,000000,18437.1800000,19500.0000000,16200.0000000,18202.0400000,158849
30/11/20,000000,18202.0200000,19915.1400000,18109.0000000,19375.6000000,118745
07/12/20,000000,19375.6000000,19432.5700000,17580.0000000,19166.6500000,95948
14/12/20,000000,19166.6500000,24300.0000000,18967.6800000,23476.5100000,171757
21/12/20,000000,23476.5100000,28387.0000000,21913.8400000,26258.6500000,158392
28/12/20,000000,26255.1600000,34810.0000000,25833.7300000,33080.6600000,204760
04/01/21,000000,33082.8400000,41986.3700000,27678.0000000,38171.5700000,303802
11/01/21,000000,38168.8900000,40127.6600000,30100.0000000,35820.0000000,298706
18/01/21,000000,35820.0100000,37857.0000000,28732.0000000,32288.5600000,189370
25/01/21,000000,32293.1800000,38664.3300000,29156.0000000,33137.7400000,240147
01/02/21,000000,33137.7500000,41000.0000000,32333.0000000,38871.4200000,162707
08/02/21,000000,38871.4300000,49700.0000000,38057.0100000,48680.6900000,94477
15/02/21,000000,48667.2300000,58367.0000000,45768.4600000,57489.1600000,69330
22/02/21,000000,57489.1600000,57577.6900000,43016.0000000,45231.7500000,236807
01/03/21,000000,45231.7400000,52666.0000000,45042.1300000,50978.6100000,138123
08/03/21,000000,50976.2200000,61788.4500000,49328.6200000,58972.7000000,150316
15/03/21,000000,58972.7100000,60601.0700000,53221.0000000,57363.3200000,138153
22/03/21,000000,57377.2900000,58421.6800000,50305.0000000,55778.8200000,130540
29/03/21,000000,55781.2200000,60055.0200000,54900.0000000,58215.9400000,86831
05/04/21,000000,58216.7300000,61218.9700000,55400.0000000,59985.2600000,73662
12/04/21,000000,59983.6600000,64899.0000000,51300.0000000,56274.4100000,130716
19/04/21,000000,56273.6500000,57600.0000000,47044.0100000,49121.0000000,146743
26/04/21,000000,49121.0000000,58550.0000000,48817.6200000,56625.2000000,98001
03/05/21,000000,56625.2100000,59559.8400000,52913.0200000,58312.5700000,130721
10/05/21,000000,58313.8400000,59592.2000000,43825.0000000,46450.7900000,158952
17/05/21,000000,46450.7800000,46646.1500000,30000.0000000,34758.6700000,371467
24/05/21,000000,34758.8800000,40900.0000000,33333.0000000,35669.4400000,195241
31/05/21,000000,35669.4400000,39489.8200000,34183.0000000,35800.4800000,103237
07/06/21,000000,35800.4800000,39396.0000000,31004.9500000,39015.2400000,144238
14/06/21,000000,39015.2400000,41322.5500000,33347.0500000,35585.7800000,131830
21/06/21,000000,35585.7900000,35741.5400000,28800.0000000,34709.2300000,188888
28/06/21,000000,34708.5300000,36675.0000000,32703.4800000,35284.0500000,86953
05/07/21,000000,35284.0600000,35290.8200000,32111.0000000,34259.2300000,63738
12/07/21,000000,34259.2200000,34670.0000000,31025.4200000,31788.2500000,61947
19/07/21,000000,31786.3700000,35451.0400000,29301.5600000,35428.2600000,80747
26/07/21,000000,35428.2500000,42605.6400000,35251.5400000,39865.4100000,138339
02/08/21,000000,39859.1800000,45363.8300000,37300.0000000,43829.1400000,130088
09/08/21,000000,43829.1500000,48176.5200000,42821.3000000,47014.4900000,85682
16/08/21,000000,47014.3800000,49821.9200000,43955.0000000,49284.6300000,74538
23/08/21,000000,49284.3800000,50505.0000000,46315.4800000,48802.5800000,64528
30/08/21,000000,48802.5800000,51907.0800000,46537.6200000,51789.1700000,82215
06/09/21,000000,51789.1700000,52944.9600000,42830.7700000,46024.2300000,99370
13/09/21,000000,46027.8000000,48825.6200000,43465.0000000,47255.9200000,75237
20/09/21,000000,47253.7100000,47358.9200000,39600.0000000,43178.0200000,127719
27/09/21,000000,43172.1700000,49300.0000000,40750.1200000,48233.9900000,79099
04/10/21,000000,48233.9900000,56545.2400000,46916.7000000,54690.5300000,102409
11/10/21,000000,54683.0900000,62910.0000000,53873.7800000,61527.1100000,102190
18/10/21,000000,61530.0700000,66999.0000000,59522.8900000,60854.4800000,112333
25/10/21,000000,60847.9100000,63726.5800000,57653.8800000,61343.6800000,91582
01/11/21,000000,61346.1700000,64300.0000000,59500.0000000,63309.1300000,72004
08/11/21,000000,63309.1200000,69000.0000000,62300.0000000,65505.0200000,87606
15/11/21,000000,65505.0300000,66339.9000000,55625.0000000,58671.2100000,115820
22/11/21,000000,58671.2200000,59526.5100000,53327.0000000,57317.1700000,95065
29/11/21,000000,57318.5100000,59249.7700000,45111.0000000,49484.2200000,133700
06/12/21,000000,49484.2100000,51995.0000000,46786.7800000,50089.6400000,103198
13/12/21,000000,50089.6400000,50218.4200000,45469.3200000,46687.1900000,108534
20/12/21,000000,46687.2000000,51878.6000000,45568.0000000,50801.7900000,82945
27/12/21,000000,50804.3300000,52100.0000000,45650.0000000,47299.0700000,117806
03/01/22,000000,47299.0600000,47583.3300000,40505.3000000,41876.5200000,125660
10/01/22,000000,41876.5200000,44453.2200000,39650.0000000,43104.3400000,102271
17/01/22,000000,43104.3400000,43511.9900000,34017.5600000,36282.4700000,156386
24/01/22,000000,36275.2800000,38960.0000000,32933.3300000,37901.3500000,157845
31/01/22,000000,37904.9900000,42719.9300000,36259.0100000,42415.1600000,103274
07/02/22,000000,42416.0600000,45855.0000000,41678.7900000,42074.9900000,107480
14/02/22,000000,42073.3700000,44775.9600000,38000.0000000,38389.0300000,90971
21/02/22,000000,38395.9900000,40300.5000000,34322.0000000,37717.0800000,145169
28/02/22,000000,37716.5700000,45426.4500000,37455.7100000,38408.3800000,127675
07/03/22,000000,38406.8200000,42597.8400000,37161.8800000,37793.0100000,113726
14/03/22,000000,37793.4000000,42429.0000000,37560.4000000,41287.2400000,100431
21/03/22,000000,41287.2400000,46950.0000000,40509.0000000,46850.0100000,103299
28/03/22,000000,46850.0100000,48240.0000000,44232.8600000,46422.1600000,99986
04/04/22,000000,46420.0800000,47200.0000000,41885.8600000,42165.9600000,88180
11/04/22,000000,42165.9600000,42424.1400000,39204.5900000,39683.5400000,68883
18/04/22,000000,39681.1100000,43109.4700000,38550.0000000,39464.5600000,85372
25/04/22,000000,39463.7500000,40817.1600000,37401.0000000,38473.0500000,108907
02/05/22,000000,38469.4900000,40038.2700000,33701.0000000,34027.9100000,148626
09/05/22,000000,34033.4900000,34231.5400000,25338.5300000,31290.0500000,309539
16/05/22,000000,31290.0200000,31293.3100000,28605.0000000,30260.8700000,155920
23/05/22,000000,30258.0400000,30635.3900000,28000.0000000,29447.0700000,121783
30/05/22,000000,29447.0800000,32383.9600000,29213.4700000,29901.5400000,118395
06/06/22,000000,29899.6200000,31745.0000000,26532.9500000,26555.2000000,128860
13/06/22,000000,26555.1700000,26869.3500000,17567.4500000,20552.4400000,336603
20/06/22,000000,20552.3900000,21866.0000000,19603.8000000,21027.9200000,142064
27/06/22,000000,21024.8500000,21520.0000000,18603.0000000,19291.3300000,137270
04/07/22,000000,19291.3500000,22490.5400000,19029.3300000,20850.6500000,124502
11/07/22,000000,20850.6500000,21667.1000000,18892.0000000,20791.7400000,131960
18/07/22,000000,20791.7400000,24287.1300000,20755.9500000,22583.4300000,167062
25/07/22,000000,22583.3700000,24666.0000000,20715.0000000,23307.4400000,131186
01/08/22,000000,23307.4400000,23650.9600000,22392.8800000,23177.3900000,117647
08/08/22,000000,23180.2600000,25054.1000000,22666.2300000,24316.7100000,156290
15/08/22,000000,24189.1800000,25159.4400000,23679.4500000,23863.9700000,13103
